TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_KEY	COLUMN_DEFAULT	EXTRA
announcements	id	int(10) unsigned	NO	PRI	NULL	auto_increment
announcements	author_id	int(10) unsigned	NO	MUL	NULL	
announcements	title	varchar(255)	NO	UNI	NULL	
announcements	body	text	NO		NULL	
announcements	type	varchar(60)	YES	MUL	'info'	
announcements	status	enum('draft','published','archived')	YES	MUL	'draft'	
announcements	priority	enum('low','normal','high','urgent')	YES	MUL	'normal'	
announcements	target_roles_json	text	YES		NULL	
announcements	is_pinned	tinyint(1)	YES	MUL	0	
announcements	cta_label	varchar(120)	YES		NULL	
announcements	cta_url	varchar(255)	YES		NULL	
announcements	created_at	timestamp	NO		current_timestamp()	
announcements	published_at	datetime	YES	MUL	NULL	
announcements	updated_at	datetime	YES		NULL	
announcements	expires_at	datetime	YES	MUL	NULL	
announcements	archived_at	datetime	YES		NULL	
announcements	metadata_json	longtext	YES		NULL	
attendance_gateways	id	int(10) unsigned	NO	PRI	NULL	auto_increment
attendance_gateways	project_id	int(10) unsigned	YES	MUL	NULL	
attendance_gateways	work_location_id	int(10) unsigned	YES	MUL	NULL	
attendance_gateways	date	date	NO		NULL	
attendance_gateways	opened_by	int(10) unsigned	NO	MUL	NULL	
attendance_gateways	opened_at	datetime	NO		NULL	
attendance_gateways	closes_at	datetime	NO		NULL	
attendance_gateways	is_open	tinyint(1)	YES		1	
attendance_gateways	notes	text	YES		NULL	
attendance_records	id	int(10) unsigned	NO	PRI	NULL	auto_increment
attendance_records	user_id	int(10) unsigned	NO	MUL	NULL	
attendance_records	project_id	int(10) unsigned	YES	MUL	NULL	
attendance_records	work_location_id	int(10) unsigned	YES	MUL	NULL	
attendance_records	role_at_signin	varchar(60)	YES		NULL	
attendance_records	gateway_id	int(10) unsigned	NO	MUL	NULL	
attendance_records	date	date	NO	MUL	NULL	
attendance_records	signin_time	time	YES		NULL	
attendance_records	latitude	decimal(10,8)	YES		NULL	
attendance_records	longitude	decimal(11,8)	YES		NULL	
attendance_records	distance_from_site_m	decimal(8,1)	YES		NULL	
