TABLE_NAME	COLUMN_NAME	CONSTRAINT_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
announcements	author_id	announcements_ibfk_1	users	id
attendance_gateways	opened_by	attendance_gateways_ibfk_2	users	id
attendance_gateways	project_id	attendance_gateways_ibfk_1	projects	id
attendance_records	gateway_id	attendance_records_ibfk_3	attendance_gateways	id
attendance_records	project_id	attendance_records_ibfk_2	projects	id
attendance_records	reviewed_by	fk_attendance_reviewed_by	users	id
attendance_records	user_id	attendance_records_ibfk_1	users	id
boq_items	project_id	boq_items_ibfk_1	projects	id
boq_review_updates	boq_item_id	boq_review_updates_ibfk_1	boq_items	id
boq_review_updates	project_id	boq_review_updates_ibfk_2	projects	id
boq_review_updates	user_id	boq_review_updates_ibfk_3	users	id
cms_revisions	created_by	cms_revisions_ibfk_3	users	id
cms_revisions	page_id	cms_revisions_ibfk_1	cms_pages	id
cms_revisions	section_id	cms_revisions_ibfk_2	cms_sections	id
cms_sections	page_id	cms_sections_ibfk_1	cms_pages	id
community_liaison	project_id	community_liaison_ibfk_1	projects	id
community_liaison	recorded_by	community_liaison_ibfk_2	users	id
contact_replies	contact_submission_id	fk_contact_replies_submission	contact_submissions	id
contact_replies	sender_user_id	fk_contact_replies_sender	users	id
contact_submissions	assigned_to	contact_submissions_ibfk_1	users	id
contractor_submission_attachments	media_id	fk_csa_media	media_library	id
contractor_submission_attachments	project_id	fk_csa_project	projects	id
contractor_submission_attachments	uploaded_by	fk_csa_user	users	id
defects	assigned_to	defects_ibfk_3	users	id
defects	project_id	defects_ibfk_1	projects	id
defects	raised_by	defects_ibfk_2	users	id
documents	project_id	documents_ibfk_1	projects	id
documents	uploaded_by	documents_ibfk_2	users	id
email_logs	recipient_user_id	fk_email_logs_user	users	id
environmental_logs	project_id	environmental_logs_ibfk_1	projects	id
environmental_logs	recorded_by	environmental_logs_ibfk_2	users	id
eot_requests	approved_by	eot_requests_ibfk_3	users	id
eot_requests	project_id	eot_requests_ibfk_1	projects	id
eot_requests	submitted_by	eot_requests_ibfk_2	users	id
equipment_register	project_id	equipment_register_ibfk_1	projects	id
gallery_categories	project_id	gallery_categories_ibfk_1	projects	id
gallery_images	category_id	gallery_images_ibfk_1	gallery_categories	id
gallery_media	gallery_id	fk_gallery_media_gallery	gallery_images	id
gallery_media	media_id	fk_gallery_media_media	media_library	id
gallery_media	thumbnail_media_id	fk_gallery_media_thumb	media_library	id
geo_fences	created_by	geo_fences_ibfk_2	users	id
geo_fences	project_id	geo_fences_ibfk_1	projects	id
geo_fences	verified_by	fk_geo_fences_verified_by	users	id
hs_incidents	project_id	hs_incidents_ibfk_1	projects	id
hs_incidents	reported_by	hs_incidents_ibfk_2	users	id
inspection_test_plans	inspected_by	inspection_test_plans_ibfk_2	users	id
inspection_test_plans	project_id	inspection_test_plans_ibfk_1	projects	id
intern_site_entries	media_id	intern_site_entries_ibfk_4	media_library	id
intern_site_entries	milestone_id	intern_site_entries_ibfk_3	milestones	id
intern_site_entries	project_id	intern_site_entries_ibfk_1	projects	id
intern_site_entries	reviewed_by	intern_site_entries_ibfk_5	users	id
intern_site_entries	user_id	intern_site_entries_ibfk_2	users	id
intern_site_photos	media_id	intern_site_photos_ibfk_3	media_library	id
intern_site_photos	project_id	intern_site_photos_ibfk_1	projects	id
intern_site_photos	reviewed_by	intern_site_photos_ibfk_4	users	id
intern_site_photos	user_id	intern_site_photos_ibfk_2	users	id
ipcs	contractor_id	ipcs_ibfk_2	users	id
ipcs	project_id	ipcs_ibfk_1	projects	id
ipc_approvals	action_by	ipc_approvals_ibfk_2	users	id
ipc_approvals	ipc_id	ipc_approvals_ibfk_1	ipcs	id
ipc_lines	boq_item_id	fk_ipc_lines_boq	boq_items	id
ipc_lines	ipc_id	fk_ipc_lines_ipc	ipcs	id
liquidated_damages	applied_to_ipc_id	fk_ld_ipc	ipcs	id
liquidated_damages	project_id	fk_ld_project	projects	id
payments	ipc_id	fk_payments_ipc	ipcs	id
payments	processed_by	fk_payments_processed_by	users	id
payments	project_id	fk_payments_project	projects	id
programme_tasks	assigned_to	fk_programme_tasks_assigned_to	users	id
programme_tasks	depends_on_task_id	fk_programme_tasks_dependency	programme_tasks	id
programme_tasks	project_id	fk_programme_tasks_project	projects	id
retention	ipc_id	fk_retention_ipc	ipcs	id
retention	project_id	fk_retention_project	projects	id
variations	project_id	fk_variations_project	projects	id
variations	submitted_by	fk_variations_submitted_by	users	id
