TABLE_NAME	INDEX_NAME	NON_UNIQUE	COLUMN_NAME	SEQ_IN_INDEX
announcements	idx_announcements_author	1	author_id	1
announcements	idx_announcements_expires_at	1	expires_at	1
announcements	idx_announcements_pinned	1	is_pinned	1
announcements	idx_announcements_priority	1	priority	1
announcements	idx_announcements_published_at	1	published_at	1
announcements	idx_announcements_status	1	status	1
announcements	idx_announcements_type	1	type	1
announcements	PRIMARY	0	id	1
announcements	uq_announcements_title	0	title	1
attendance_gateways	idx_gateways_project_date_open	1	project_id	1
attendance_gateways	idx_gateways_project_date_open	1	date	2
attendance_gateways	idx_gateways_project_date_open	1	is_open	3
attendance_gateways	idx_gateways_work_location_date	1	work_location_id	1
attendance_gateways	idx_gateways_work_location_date	1	date	2
attendance_gateways	opened_by	1	opened_by	1
attendance_gateways	PRIMARY	0	id	1
attendance_gateways	uq_project_date	0	project_id	1
attendance_gateways	uq_project_date	0	date	2
attendance_records	fk_attendance_reviewed_by	1	reviewed_by	1
attendance_records	gateway_id	1	gateway_id	1
attendance_records	idx_attendance_date_project_status	1	date	1
attendance_records	idx_attendance_date_project_status	1	project_id	2
attendance_records	idx_attendance_date_project_status	1	status	3
attendance_records	idx_attendance_date_user	1	date	1
attendance_records	idx_attendance_date_user	1	user_id	2
attendance_records	idx_attendance_project_date_status	1	project_id	1
attendance_records	idx_attendance_project_date_status	1	date	2
attendance_records	idx_attendance_project_date_status	1	status	3
attendance_records	idx_attendance_user_project_date	1	user_id	1
attendance_records	idx_attendance_user_project_date	1	project_id	2
attendance_records	idx_attendance_user_project_date	1	date	3
attendance_records	idx_attendance_user_status_date	1	user_id	1
attendance_records	idx_attendance_user_status_date	1	status	2
attendance_records	idx_attendance_user_status_date	1	date	3
attendance_records	idx_attendance_work_location_date	1	work_location_id	1
attendance_records	idx_attendance_work_location_date	1	date	2
attendance_records	PRIMARY	0	id	1
attendance_records	uq_user_date	0	user_id	1
attendance_records	uq_user_date	0	date	2
audit_logs	idx_audit_action_created	1	action	1
audit_logs	idx_audit_action_created	1	created_at	2
audit_logs	idx_audit_actor_role	1	actor_role	1
audit_logs	idx_audit_actor_role	1	created_at	2
audit_logs	idx_audit_event_hash	1	event_hash	1
audit_logs	idx_audit_ip_created	1	ip	1
audit_logs	idx_audit_ip_created	1	created_at	2
audit_logs	idx_audit_module_created	1	module	1
audit_logs	idx_audit_module_created	1	created_at	2
audit_logs	idx_audit_severity_created	1	severity	1
audit_logs	idx_audit_severity_created	1	created_at	2
audit_logs	idx_audit_target	1	module	1
audit_logs	idx_audit_target	1	target_id	2
audit_logs	idx_created	1	created_at	1
audit_logs	idx_module	1	module	1
audit_logs	idx_user	1	user_id	1
audit_logs	PRIMARY	0	id	1
boq_items	idx_boq_item_no	1	item_no	1
boq_items	idx_boq_project	1	project_id	1
boq_items	idx_boq_project_item_no	1	project_id	1
boq_items	idx_boq_project_item_no	1	item_no	2
boq_items	idx_boq_project_review	1	project_id	1
boq_items	idx_boq_project_review	1	review_status	2
boq_items	idx_boq_project_risk	1	project_id	1
boq_items	idx_boq_project_risk	1	risk_status	2
boq_items	idx_boq_project_section	1	project_id	1
boq_items	idx_boq_project_section	1	section	2
boq_items	idx_boq_project_status	1	project_id	1
boq_items	idx_boq_project_status	1	status	2
boq_items	idx_boq_reviewed_by	1	last_reviewed_by	1
boq_items	PRIMARY	0	id	1
boq_review_updates	idx_boq_review_updates_item	1	boq_item_id	1
boq_review_updates	idx_boq_review_updates_item	1	created_at	2
boq_review_updates	idx_boq_review_updates_project	1	project_id	1
boq_review_updates	idx_boq_review_updates_project	1	created_at	2
boq_review_updates	idx_boq_review_updates_user	1	user_id	1
boq_review_updates	idx_boq_review_updates_user	1	created_at	2
boq_review_updates	PRIMARY	0	id	1
cms_pages	PRIMARY	0	id	1
cms_pages	slug	0	slug	1
cms_revisions	created_by	1	created_by	1
cms_revisions	idx_cms_revisions_page_created	1	page_id	1
cms_revisions	idx_cms_revisions_page_created	1	created_at	2
cms_revisions	idx_cms_revisions_target	1	revision_type	1
cms_revisions	idx_cms_revisions_target	1	target_key	2
cms_revisions	PRIMARY	0	id	1
cms_revisions	section_id	1	section_id	1
cms_sections	PRIMARY	0	id	1
cms_sections	uq_page_section	0	page_id	1
cms_sections	uq_page_section	0	section_key	2
cms_settings	key	0	key	1
cms_settings	PRIMARY	0	id	1
community_liaison	idx_cl_project_date	1	project_id	1
community_liaison	idx_cl_project_date	1	log_date	2
community_liaison	idx_cl_status_followup	1	status	1
community_liaison	idx_cl_status_followup	1	follow_up_date	2
community_liaison	PRIMARY	0	id	1
community_liaison	recorded_by	1	recorded_by	1
constituencies	PRIMARY	0	id	1
constituencies	slug	0	slug	1
contact_departments	idx_contact_departments_subject	1	subject_key	1
contact_departments	idx_contact_departments_visible	1	is_visible	1
contact_departments	idx_contact_departments_visible	1	sort_order	2
contact_departments	PRIMARY	0	id	1
contact_departments	uq_contact_department_name	0	name	1
contact_replies	idx_contact_replies_delivery	1	delivery_status	1
contact_replies	idx_contact_replies_delivery	1	created_at	2
contact_replies	idx_contact_replies_sender	1	sender_user_id	1
contact_replies	idx_contact_replies_sender	1	created_at	2
contact_replies	idx_contact_replies_submission	1	contact_submission_id	1
contact_replies	idx_contact_replies_submission	1	created_at	2
contact_replies	PRIMARY	0	id	1
contact_submissions	idx_contact_assigned_status	1	assigned_to	1
contact_submissions	idx_contact_assigned_status	1	status	2
contact_submissions	idx_contact_created	1	created_at	1
contact_submissions	idx_contact_email	1	email	1
contact_submissions	idx_contact_internal_thread	1	internal_thread_id	1
contact_submissions	idx_contact_ip_created	1	ip_address	1
contact_submissions	idx_contact_ip_created	1	created_at	2
contact_submissions	idx_contact_read_status	1	is_read	1
contact_submissions	idx_contact_read_status	1	status	2
contact_submissions	idx_contact_submissions_status	1	status	1
contact_submissions	idx_contact_submissions_status	1	created_at	2
contact_submissions	PRIMARY	0	id	1
contractors	idx_contractors_constituency	1	constituency_id	1
contractors	idx_contractors_project	1	project_id	1
contractors	idx_contractors_status	1	status	1
contractors	PRIMARY	0	id	1
contractors	slug	0	slug	1
contractor_submission_attachments	idx_csa_media	1	media_id	1
contractor_submission_attachments	idx_csa_project	1	project_id	1
contractor_submission_attachments	idx_csa_project	1	submission_type	2
contractor_submission_attachments	idx_csa_project	1	created_at	3
contractor_submission_attachments	idx_csa_submission	1	submission_type	1
contractor_submission_attachments	idx_csa_submission	1	submission_id	2
contractor_submission_attachments	idx_csa_user	1	uploaded_by	1
contractor_submission_attachments	idx_csa_user	1	created_at	2
contractor_submission_attachments	PRIMARY	0	id	1
defects	assigned_to	1	assigned_to	1
defects	idx_defects_consultant_review	1	project_id	1
defects	idx_defects_consultant_review	1	consultant_review_status	2
defects	idx_defects_consultant_review	1	raised_date	3
defects	idx_defects_project_status_date	1	project_id	1
defects	idx_defects_project_status_date	1	status	2
defects	idx_defects_project_status_date	1	raised_date	3
defects	PRIMARY	0	id	1
defects	raised_by	1	raised_by	1
documents	idx_documents_category_review	1	category	1
documents	idx_documents_category_review	1	consultant_review_status	2
documents	idx_documents_clerk_type	1	project_id	1
documents	idx_documents_clerk_type	1	clerk_document_type	2
documents	idx_documents_clerk_type	1	site_record_date	3
documents	idx_documents_consultant_review	1	project_id	1
documents	idx_documents_consultant_review	1	consultant_review_status	2
documents	idx_documents_consultant_review	1	created_at	3
documents	idx_documents_project_created	1	project_id	1
documents	idx_documents_project_created	1	created_at	2
documents	PRIMARY	0	id	1
documents	uploaded_by	1	uploaded_by	1
email_logs	idx_email_logs_provider_message	1	provider_message_id	1
email_logs	idx_email_logs_recipient	1	recipient_email	1
email_logs	idx_email_logs_status_created	1	status	1
email_logs	idx_email_logs_status_created	1	created_at	2
email_logs	idx_email_logs_user_created	1	recipient_user_id	1
email_logs	idx_email_logs_user_created	1	created_at	2
email_logs	PRIMARY	0	id	1
environmental_logs	PRIMARY	0	id	1
environmental_logs	project_id	1	project_id	1
environmental_logs	recorded_by	1	recorded_by	1
eot_requests	approved_by	1	approved_by	1
eot_requests	idx_eot_consultant_review	1	project_id	1
eot_requests	idx_eot_consultant_review	1	consultant_review_status	2
eot_requests	idx_eot_consultant_review	1	created_at	3
eot_requests	idx_eot_manager_review	1	manager_recommendation	1
eot_requests	idx_eot_manager_review	1	manager_reviewed_at	2
eot_requests	idx_eot_project_status	1	project_id	1
eot_requests	idx_eot_project_status	1	status	2
eot_requests	idx_eot_project_status_created	1	project_id	1
eot_requests	idx_eot_project_status_created	1	status	2
eot_requests	idx_eot_project_status_created	1	created_at	3
eot_requests	idx_eot_project_user_status	1	project_id	1
eot_requests	idx_eot_project_user_status	1	submitted_by	2
eot_requests	idx_eot_project_user_status	1	status	3
eot_requests	idx_eot_status	1	status	1
eot_requests	PRIMARY	0	id	1
eot_requests	submitted_by	1	submitted_by	1
equipment_register	idx_equipment_check	1	project_id	1
equipment_register	idx_equipment_check	1	check_status	2
equipment_register	idx_equipment_check	1	status	3
equipment_register	idx_equipment_project_dates	1	project_id	1
equipment_register	idx_equipment_project_dates	1	date_on_site	2
equipment_register	idx_equipment_project_dates	1	date_off_site	3
equipment_register	idx_equipment_project_status	1	project_id	1
equipment_register	idx_equipment_project_status	1	status	2
equipment_register	PRIMARY	0	id	1
faq_categories	PRIMARY	0	id	1
faq_categories	slug	0	slug	1
faq_items	PRIMARY	0	id	1
gallery_categories	PRIMARY	0	id	1
gallery_categories	project_id	1	project_id	1
gallery_categories	slug	0	slug	1
gallery_images	category_id	1	category_id	1
gallery_images	idx_gallery_media_type	1	media_type	1
gallery_images	idx_gallery_site	1	site_key	1
gallery_images	idx_gallery_status	1	status	1
gallery_images	idx_gallery_year	1	year	1
gallery_images	PRIMARY	0	id	1
gallery_media	fk_gallery_media_thumb	1	thumbnail_media_id	1
gallery_media	idx_gallery_media_gallery	1	gallery_id	1
gallery_media	idx_gallery_media_media	1	media_id	1
gallery_media	idx_gallery_media_type	1	media_type	1
gallery_media	PRIMARY	0	id	1
geo_fences	created_by	1	created_by	1
geo_fences	fk_geo_fences_verified_by	1	verified_by	1
geo_fences	idx_geo_project_status	1	project_id	1
geo_fences	idx_geo_project_status	1	status	2
geo_fences	PRIMARY	0	id	1
hs_incidents	idx_hs_followup	1	follow_up_date	1
hs_incidents	idx_hs_followup	1	status	2
hs_incidents	idx_hs_project_date	1	project_id	1
hs_incidents	idx_hs_project_date	1	incident_date	2
hs_incidents	idx_hs_status_severity	1	status	1
hs_incidents	idx_hs_status_severity	1	severity	2
hs_incidents	PRIMARY	0	id	1
hs_incidents	reported_by	1	reported_by	1
inspection_test_plans	idx_itp_clerk_status	1	project_id	1
inspection_test_plans	idx_itp_clerk_status	1	inspection_status	2
inspection_test_plans	idx_itp_clerk_status	1	inspection_date	3
inspection_test_plans	idx_itp_consultant_review	1	project_id	1
inspection_test_plans	idx_itp_consultant_review	1	consultant_review_status	2
inspection_test_plans	idx_itp_consultant_review	1	inspection_date	3
inspection_test_plans	idx_itp_project_date	1	project_id	1
inspection_test_plans	idx_itp_project_date	1	inspection_date	2
inspection_test_plans	inspected_by	1	inspected_by	1
inspection_test_plans	PRIMARY	0	id	1
intern_site_entries	idx_intern_entries_project_status	1	project_id	1
intern_site_entries	idx_intern_entries_project_status	1	status	2
intern_site_entries	idx_intern_entries_project_status	1	entry_date	3
intern_site_entries	idx_intern_entries_review	1	status	1
intern_site_entries	idx_intern_entries_review	1	reviewed_at	2
intern_site_entries	idx_intern_entries_user_project_date	1	user_id	1
intern_site_entries	idx_intern_entries_user_project_date	1	project_id	2
intern_site_entries	idx_intern_entries_user_project_date	1	entry_date	3
intern_site_entries	media_id	1	media_id	1
intern_site_entries	milestone_id	1	milestone_id	1
intern_site_entries	PRIMARY	0	id	1
intern_site_entries	reviewed_by	1	reviewed_by	1
intern_site_photos	idx_intern_photos_media	1	media_id	1
intern_site_photos	idx_intern_photos_project_category	1	project_id	1
intern_site_photos	idx_intern_photos_project_category	1	category	2
intern_site_photos	idx_intern_photos_project_category	1	status	3
intern_site_photos	idx_intern_photos_user_project	1	user_id	1
intern_site_photos	idx_intern_photos_user_project	1	project_id	2
intern_site_photos	idx_intern_photos_user_project	1	created_at	3
intern_site_photos	PRIMARY	0	id	1
intern_site_photos	reviewed_by	1	reviewed_by	1
ipcs	idx_ipcs_approved_at	1	approved_at	1
ipcs	idx_ipcs_clerk_verified	1	project_id	1
ipcs	idx_ipcs_clerk_verified	1	status	2
ipcs	idx_ipcs_clerk_verified	1	clerk_verified_at	3
ipcs	idx_ipcs_contractor_status	1	contractor_id	1
ipcs	idx_ipcs_contractor_status	1	status	2
ipcs	idx_ipcs_paid_at	1	paid_at	1
ipcs	idx_ipcs_payment_status	1	payment_status	1
ipcs	idx_ipcs_payment_status	1	paid_at	2
ipcs	idx_ipcs_project_status	1	project_id	1
ipcs	idx_ipcs_project_status	1	status	2
ipcs	idx_ipcs_project_status_certified	1	project_id	1
ipcs	idx_ipcs_project_status_certified	1	status	2
ipcs	idx_ipcs_project_status_certified	1	certified_at	3
ipcs	idx_ipcs_project_status_submitted	1	project_id	1
ipcs	idx_ipcs_project_status_submitted	1	status	2
ipcs	idx_ipcs_project_status_submitted	1	submitted_at	3
ipcs	idx_ipcs_status	1	status	1
ipcs	idx_ipcs_status_payment_approved	1	status	1
ipcs	idx_ipcs_status_payment_approved	1	payment_status	2
ipcs	idx_ipcs_status_payment_approved	1	approved_at	3
ipcs	idx_ipcs_submitted_at	1	submitted_at	1
ipcs	PRIMARY	0	id	1
ipcs	uq_project_ipc_no	0	project_id	1
ipcs	uq_project_ipc_no	0	ipc_number	2
ipc_approvals	action_by	1	action_by	1
ipc_approvals	idx_ipc_approvals_action	1	action	1
ipc_approvals	idx_ipc_approvals_actioned_at	1	actioned_at	1
ipc_approvals	idx_ipc_approvals_ipc_step	1	ipc_id	1
ipc_approvals	idx_ipc_approvals_ipc_step	1	step	2
ipc_approvals	idx_ipc_approvals_ipc_step_actioned	1	ipc_id	1
ipc_approvals	idx_ipc_approvals_ipc_step_actioned	1	step	2
ipc_approvals	idx_ipc_approvals_ipc_step_actioned	1	actioned_at	3
ipc_approvals	PRIMARY	0	id	1
ipc_attachments	idx_ipc_attachments_ipc	1	ipc_id	1
ipc_attachments	idx_ipc_attachments_media	1	media_id	1
ipc_attachments	idx_ipc_attachments_user	1	uploaded_by	1
ipc_attachments	idx_ipc_attachments_user	1	created_at	2
ipc_attachments	PRIMARY	0	id	1
ipc_lines	idx_ipc_lines_boq	1	boq_item_id	1
ipc_lines	idx_ipc_lines_ipc	1	ipc_id	1
ipc_lines	idx_ipc_lines_ipc_boq	1	ipc_id	1
ipc_lines	idx_ipc_lines_ipc_boq	1	boq_item_id	2
ipc_lines	PRIMARY	0	id	1
labour_register	idx_labour_project_date	1	project_id	1
labour_register	idx_labour_project_date	1	diary_date	2
labour_register	idx_labour_project_status_date	1	project_id	1
labour_register	idx_labour_project_status_date	1	status	2
labour_register	idx_labour_project_status_date	1	diary_date	3
labour_register	idx_labour_verification	1	project_id	1
labour_register	idx_labour_verification	1	verification_status	2
labour_register	idx_labour_verification	1	diary_date	3
labour_register	PRIMARY	0	id	1
labour_register	recorded_by	1	recorded_by	1
labour_register	uq_project_date	0	project_id	1
labour_register	uq_project_date	0	diary_date	2
leadership_profiles	idx_leadership_slug	0	slug	1
leadership_profiles	idx_leadership_type_status	1	profile_type	1
