table_name	table_rows
announcements	14
attendance_gateways	0
attendance_records	0
audit_logs	219
boq_items	99
boq_review_updates	0
cms_pages	23
cms_revisions	18
cms_sections	202
cms_settings	76
community_liaison	0
constituencies	5
contact_departments	4
contact_replies	0
contact_submissions	2
contractors	8
contractor_submission_attachments	0
defects	0
documents	0
email_logs	8
environmental_logs	0
eot_requests	3
equipment_register	0
faq_categories	8
faq_items	23
gallery_categories	5
gallery_images	25
gallery_media	20
geo_fences	9
hs_incidents	0
inspection_test_plans	0
intern_site_entries	0
intern_site_photos	0
ipcs	23
ipc_approvals	49
ipc_attachments	0
ipc_lines	115
labour_register	0
leadership_profiles	27
leadership_quotes	4
liquidated_damages	3
manager_project_notes	0
material_approvals	0
material_deliveries	0
media_library	69
media_usage	0
messages	0
message_attachments	0
message_participants	0
message_reads	0
message_threads	0
milestones	18
milestone_updates	0
navigation_links	28
news_articles	19
news_article_tags	6
news_categories	7
news_tags	6
non_conformance_reports	0
notifications	8
password_resets	8
payments	4
programme_tasks	110
projects	11
project_assignments	56
project_categories	4
project_channels	0
project_progress_updates	0
public_frontend_content_snapshots	17
quality_tests	0
report_runs	12
retention	4
retention_release_history	0
rfis	0
roles	7
shop_drawings	0
site_diaries	0
site_meeting_minutes	0
stakeholders	18
stakeholder_engagement_paths	4
stakeholder_groups	6
stakeholder_milestones	10
stakeholder_testimonials	4
subcontractors	0
subscribers	3
system_health_snapshots	4
system_settings	38
system_setting_revisions	2
users	13
user_role_assignments	0
user_sessions	29
variations	4
wards	25
weather_logs	0
work_locations	0
work_location_assignments	0
_migrations	166
